PollingPlaceID,Latitude,Longitude
138,-33.7282000,151.0850000
139,-33.7292000,151.1280000
140,-33.7321594,151.1305515
141,-33.7147000,151.1470000
142,-33.7446000,151.1130000
130,-33.6916382,151.1515910
143,-33.7161890,151.1182789
144,-33.7155000,151.1280000
145,-33.7081000,151.1110000
125,-33.7041743,151.1111134
146,-33.7133693,151.1034831
147,-33.7300000,151.1230000
2148,-32.9328000,148.2400000
219,-33.6464839,149.2717135
220,-33.4217000,149.5710000
221,-33.4200000,149.5770000
31071,-33.4163000,149.5800000
223,-33.4129000,149.5690000
224,-33.4060000,149.5710000
33861,-33.4214677,149.5801194
225,-33.4337000,149.5690000
227,-33.4118000,149.5590000
2153,-33.3623000,147.6780000
1750,-33.8463000,149.7420000
228,-33.5290000,149.2520000
229,-33.2693000,149.1030000
65499,-33.2861219,149.1010431
2156,-33.1054887,147.7979378
2157,-33.2510000,148.9840000
231,-33.2802000,149.1180000
232,-33.5152000,150.1204770
1753,-33.9482366,149.5295923
235,-33.2872000,149.0800000
236,-33.3062000,149.0470000
2161,-33.5577156,148.6706656
237,-33.1465683,149.9867103
238,-33.6123000,149.1420000
2162,-33.4277553,148.8078627
241,-33.4839494,150.1417510
2170,-33.2873619,148.7403241
242,-33.2995000,150.0330000
2171,-32.9290500,148.7486470
30100,-33.2861219,149.1010431
244,-33.3778328,149.5401417
2183,-33.4237000,148.3690000
2186,-33.3857356,148.0079410
2187,-33.3961181,148.0140322
2188,-33.3629226,148.0115409
65498,-33.3857061,148.0080762
2189,-33.3916521,148.0122682
249,-33.0426996,150.2143916
250,-33.2972043,149.1117993
253,-33.6487525,150.0490689
1767,-33.5510000,150.1880000
255,-33.4799000,150.1490000
256,-33.0349000,149.4160000
260,-33.4176000,149.6040000
262,-33.4818000,150.1600000
263,-33.4990530,150.1273970
33864,-33.4810092,150.1565069
264,-33.4955000,150.1330000
265,-33.3445000,149.1610000
267,-33.6738179,149.0445601
269,-33.6518000,149.0700000
2201,-33.1837915,148.6917970
272,-33.4344484,149.9201679
273,-33.4454758,149.1857157
274,-33.4320208,149.5597170
2203,-33.0948742,148.8656050
2205,-33.1391000,149.1210000
2209,-33.2940709,149.0123866
280,-33.7090000,149.2170000
282,-33.4660000,150.1830000
1795,-33.7021000,149.8590000
